"","part_id","cond","betas","funcMask","anatROI"
"58",17,"GS1_V3",-2.36839160826471,"CSplusVsCSminus","aINS_space-EPI.nii"
"59",17,"GS2_V2",-6.0597222577201,"CSplusVsCSminus","aINS_space-EPI.nii"
"60",17,"CSminus_V1",-0.46457873798079,"CSplusVsCSminus","aINS_space-EPI.nii"
"61",18,"CSplus_V1",2.88739800817437,"CSplusVsCSminus","aINS_space-EPI.nii"
"62",18,"GS1_V2",-0.283381713926792,"CSplusVsCSminus","aINS_space-EPI.nii"
"63",18,"GS2_V3",-4.01252590086725,"CSplusVsCSminus","aINS_space-EPI.nii"
"64",18,"CSminus_V4",-2.166793164942,"CSplusVsCSminus","aINS_space-EPI.nii"
"65",19,"CSplus_V1",0.587688949455818,"CSplusVsCSminus","aINS_space-EPI.nii"
"66",19,"GS1_V2",2.20713212119208,"CSplusVsCSminus","aINS_space-EPI.nii"
"67",19,"GS2_V3",2.63671818219953,"CSplusVsCSminus","aINS_space-EPI.nii"
"68",19,"CSminus_V4",-0.43246061305205,"CSplusVsCSminus","aINS_space-EPI.nii"
"69",21,"CSplus_V4",-0.805193024733,"CSplusVsCSminus","aINS_space-EPI.nii"
"70",21,"GS1_V3",-6.09069394363297,"CSplusVsCSminus","aINS_space-EPI.nii"
"71",21,"GS2_V2",1.83345955191387,"CSplusVsCSminus","aINS_space-EPI.nii"
"72",21,"CSminus_V1",-9.11690778738923,"CSplusVsCSminus","aINS_space-EPI.nii"
"73",22,"CSplus_V1",2.13541561567121,"CSplusVsCSminus","aINS_space-EPI.nii"
"74",22,"GS1_V2",-0.877824386656284,"CSplusVsCSminus","aINS_space-EPI.nii"
"75",22,"GS2_V3",-3.17865534252591,"CSplusVsCSminus","aINS_space-EPI.nii"
"76",22,"CSminus_V4",-0.606594111091561,"CSplusVsCSminus","aINS_space-EPI.nii"
"77",23,"CSplus_V1",-5.66584453463554,"CSplusVsCSminus","aINS_space-EPI.nii"
"78",23,"GS1_V2",-4.21106825126542,"CSplusVsCSminus","aINS_space-EPI.nii"
